label,cohort,feature,samples,non_null,non_null_pct
CIB,all,MGO(WT%),1052,594,56.4639
CIB,all,MNO(WT%),1052,587,55.7985
CIB,all,K2O(WT%),1052,718,68.251
CIB,all,NA2O(WT%),1052,596,56.654
CIB,all,P2O5(WT%),1052,583,55.4183
CIB,all,V(PPM),1052,402,38.2129
CIB,all,CR(PPM),1052,425,40.3992
CIB,all,NI(PPM),1052,70,6.654
CIB,all,RB(PPM),1052,474,45.057
CIB,all,SR(PPM),1052,483,45.9125
CIB,all,Y(PPM),1052,460,43.7262
CIB,all,ZR(PPM),1052,504,47.9087
CIB,all,NB(PPM),1052,444,42.2053
CIB,all,LA(PPM),1052,429,40.7795
CIB,all,CE(PPM),1052,419,39.8289
CIB,all,ND(PPM),1052,386,36.692
CIB,all,TH(PPM),1052,401,38.1179
CIB,all,SM(PPM),1052,388,36.8821
CIB,all,EU(PPM),1052,380,36.1217
CIB,all,YB(PPM),1052,373,35.4563
CIB,all,LU(PPM),1052,368,34.981
CIB,all,HF(PPM),1052,366,34.7909
CIB,all,TA(PPM),1052,335,31.8441
CIB,all,U(PPM),1052,335,31.8441
CIB,model_ready_broad,SIO2(WT%),463,463,100.0
CIB,model_ready_broad,TIO2(WT%),463,463,100.0
CIB,model_ready_broad,AL2O3(WT%),463,463,100.0
CIB,model_ready_broad,FEOT(WT%),463,463,100.0
CIB,model_ready_broad,CAO(WT%),463,463,100.0
CIB,model_ready_broad,MGO(WT%),463,463,100.0
CIB,model_ready_broad,MNO(WT%),463,463,100.0
CIB,model_ready_broad,K2O(WT%),463,463,100.0
CIB,model_ready_broad,NA2O(WT%),463,463,100.0
CIB,model_ready_broad,P2O5(WT%),463,463,100.0
CIB,model_ready_broad,V(PPM),463,376,81.2095
CIB,model_ready_broad,CR(PPM),463,400,86.3931
CIB,model_ready_broad,NI(PPM),463,69,14.9028
CIB,model_ready_broad,RB(PPM),463,440,95.0324
CIB,model_ready_broad,SR(PPM),463,449,96.9762
CIB,model_ready_broad,Y(PPM),463,403,87.041
CIB,model_ready_broad,ZR(PPM),463,450,97.1922
CIB,model_ready_broad,NB(PPM),463,394,85.0972
CIB,model_ready_broad,LA(PPM),463,376,81.2095
CIB,model_ready_broad,CE(PPM),463,366,79.0497
CIB,model_ready_broad,ND(PPM),463,333,71.9222
CIB,model_ready_broad,TH(PPM),463,353,76.2419
CIB,model_ready_broad,SM(PPM),463,336,72.5702
CIB,model_ready_broad,EU(PPM),463,328,70.8423
CIB,model_ready_broad,YB(PPM),463,327,70.6263
CIB,model_ready_broad,LU(PPM),463,323,69.7624
CIB,model_ready_broad,HF(PPM),463,321,69.3305
CIB,model_ready_broad,TA(PPM),463,297,64.1469
CIB,model_ready_broad,U(PPM),463,288,62.203
CIB,model_ready_immobile,SIO2(WT%),335,335,100.0
CIB,model_ready_immobile,TIO2(WT%),335,335,100.0
CIB,model_ready_immobile,AL2O3(WT%),335,335,100.0
CIB,model_ready_immobile,FEOT(WT%),335,335,100.0
CIB,model_ready_immobile,CAO(WT%),335,335,100.0
CIB,model_ready_immobile,MGO(WT%),335,335,100.0
CIB,model_ready_immobile,MNO(WT%),335,335,100.0
CIB,model_ready_immobile,K2O(WT%),335,335,100.0
CIB,model_ready_immobile,NA2O(WT%),335,335,100.0
CIB,model_ready_immobile,P2O5(WT%),335,335,100.0
CIB,model_ready_immobile,V(PPM),335,296,88.3582
CIB,model_ready_immobile,CR(PPM),335,309,92.2388
CIB,model_ready_immobile,NI(PPM),335,53,15.8209
CIB,model_ready_immobile,RB(PPM),335,335,100.0
CIB,model_ready_immobile,SR(PPM),335,335,100.0
