source_region,source_excel_row,Sample,SiO2,TiO2,Al2O3,Fe2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total,Mg#,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U
Southwest Indian Ridge,25,43II-S13TVG09-1,48.93,1.064,16.6,10.3,9.270000000000001,0.159,8.11,12.14,2.38,0.08,0.089,0,99.83,0.6092966818219907,0.9017535264056629,81.28948379724383,26.650276521945212,54.88547111554455,0.7607870650404898,7.695578114826827,1.426589136765519,5.177671556327785,0.9613689144882631,5.957381448518525,2.259449370245385,0.9296865930500667,3.3257880785505125,0.6739638740581997,4.456729834049093,1.0004052209546184,2.76052610588795,0.39548126364470976,2.774933560098887,0.40540320766360405,1.6377966668736834,0.06751245087677117,0.3075206471988882,0.08041418182576848,0.03336718154248306
Southwest Indian Ridge,26,40I-TVG16,48.18,1.331,15.74,11.91,10.719000000000001,0.185,8.35,11.21,2.51,0.19,0.106,0,99.7,0.581342275653723,2.26211489616899,96.8098439095486,34.69695226410707,76.34366747005268,0.911177527682893,6.238393344985788,1.8753083918927098,6.838284848910739,1.2606481647973116,7.542669786251525,2.989424875667539,1.1980075782382036,4.694805826936668,0.9080289700023628,6.014290562888331,1.2356368910150353,3.7870566273389468,0.5613012003590371,3.620326684734773,0.5365056263715842,2.111154508446078,0.07508570310281716,0.34942920725660137,0.07364429377262796,0.09644626320526993
Southwest Indian Ridge,27,40II-TVG13,48.88,1.323,14.74,12.43,11.187,0.197,9.05,10.69,2.63,0.08,0.115,-0.2,99.93,0.5905053109482239,1.4533893298503755,73.2478457825067,34.99181290763314,66.82516331397854,1.0457040967305484,7.815293041986131,1.8681840134446899,6.344230069177869,1.2381660909404077,6.937226477147857,2.9039008679591776,1.1014047810756655,4.221080275026113,0.8872069348926511,5.601170905845329,1.2883552539003194,3.563581242543682,0.5115950744103848,3.3495433798438135,0.513141967584358,2.0356393197910427,0.10026121635513163,1.5806174359584488,0.09257841465713977,0.034466133519442305
Southwest Indian Ridge,28,34II-TVG13,49.21,1.07,15.75,10.44,9.395999999999999,0.168,8.43,12.39,2.44,0.14,0.079,0,100.12,0.6152784332857832,2.4997416394040743,88.36938686979343,27.730475316774076,55.40143183886217,0.5758883467115359,3.5858716061259495,1.2635474065318364,4.751600381451616,0.9481081454225422,5.746738633621666,2.2913488506969166,0.9799898315660533,3.7388470396777453,0.7093746490904905,4.711501254526418,1.0075158086560525,3.121075612682051,0.42799799105530506,3.00944853671168,0.4539593830638876,1.7039011153258288,0.04279203205359296,0.3420881962073264,0.04346272310114729,0.051963421901673454
Southwest Indian Ridge,29,43II-S32TVG16-1,49.57,0.96,16.4,9.72,8.748000000000001,0.152,7.88,12.56,2.35,0.05,0.073,-0.2,99.5,0.6162224968988185,0.6718770385320939,70.83478369638698,25.902909286301952,44.67983931917172,0.47902738220341556,2.7300078743812763,1.0942376104460787,3.8437254200690227,0.796238797839054,4.877142750419188,2.2295709401633155,0.8597744221964194,3.3396204226406914,0.6135318822309628,4.649116294546163,0.9631038014318931,2.72856382859288,0.4264769110727133,2.8096390871227936,0.40578215196555584,1.3966798043102422,0.04057095492753127,0.24519369256910925,0.0531458557239864,0.0591127149735897
Southwest Indian Ridge,30,43III-S19TVG15-1,49.36,1.225,15.41,11.21,10.089,0.18,8.14,11.66,2.43,0.11,0.097,-0.2,99.63,0.589860031615634,1.4873925442027882,83.33755420448936,34.012504308194764,64.83653486954731,0.8307783591919229,6.7096383764080985,1.6885543143057657,6.096437906981365,1.1376982155411834,7.124595280574196,2.9940667558276486,1.1033581465238564,4.532772496645215,0.7849866205926191,5.888211973275946,1.2501027423225177,3.496845702978377,0.5759323934456698,3.5574389915211957,0.5173006846421044,1.932692989321812,0.0820981869249898,0.32067755283120924,0.07828758984294099,0.04915391809602775
Southwest Indian Ridge,31,40II-TVG07-1,49.89,1.302,16.88,9.87,8.883,0.163,6.62,12.26,2.78,0.26,0.11,0,100.14,0.5705262013624193,2.8474925666614905,116.52309374513537,32.94133049453486,77.61517338368584,1.2232542859979116,8.88649386853876,2.2434357662055175,7.790789988946394,1.3712647288285063,7.9348613932087675,2.876023387652235,1.1070265466300957,4.1574841944187,0.8392885723934936,5.724987145414015,1.2203405464745114,3.5052512697300955,0.5339022146719689,3.3538611009945662,0.5212596822636737,2.2080282777533737,0.09112907302864164,0.4213471908395282,0.10747223786630584,0.06991511274869752
Southwest Indian Ridge,32,20VI-TVG9,47.99,0.85,16.48,10.66,9.594000000000001,0.157,9.48,11.39,2.65,0.15,0.051,0,99.88,0.6378601836235088,2.128143971162659,125.21373909224282,19.470051012728483,46.501767682144774,0.645123139815837,4.132115838151679,1.5101902689111157,4.8442509366098445,0.8505780776881591,4.500330869237622,1.823596984916222,0.760532638097007,2.608956890446898,0.48580491442789814,3.2142755727575487,0.6997477835381721,2.019523580420362,0.3079977526698194,1.879586290344792,0.2790758161688737,1.2550972485408258,0.05783794989666088,0.41862928028679164,0.08051697334093026,0.0871146087568145
Southwest Indian Ridge,33,30III-TVG11-2,49.52,1.642,14.3,12.38,11.142000000000001,0.189,7.48,10.66,2.69,0.26,0.153,0.39,99.66,0.5447681317885574,2.6804850544333303,84.100937629024,42.621695625986995,99.44168331574717,1.9934521796878004,11.860274442569104,2.7950694458506695,9.202651009396755,1.6965482867524586,9.095375073514198,3.8721017137492963,1.358341366466678,5.764154096969455,1.0611239828603776,7.007062785721221,1.5475720272626052,4.304797171341153,0.6229164449054297,4.137818962568645,0.6090143261790081,2.8944834981869634,0.13142095189212302,1.0295835566987612,0.19020725416275436,0.13916542052716258
Southwest Indian Ridge,34,20VII-TVG3,49.27,1.36,14.99,11.71,10.539000000000001,0.199,8.15,11.46,2.66,0.1,0.118,0.6,100.61,0.5795624806041096,1.2137502132143965,83.84050442325858,35.59014197156504,71.73359245268722,1.181910717022739,9.70103579728499,2.0743810095978557,7.134145420814028,1.2282997758941594,7.49356951160833,3.2474686567659474,1.1738631869366634,4.345493622183266,0.9012631250710677,6.021793121534609,1.3056052536500906,3.7615485893218814,0.5835034376678682,3.529977540303777,0.500802127474512,2.1097136743258247,0.08399453772650026,1.897531363656553,0.13946874029395387,0.07950211276255002
Southwest Indian Ridge,35,43IV-S26GD05-1,49.62,1.548,14.74,12.25,11.025,0.197,7.5,11.23,2.88,0.26,0.139,0.4,100.76,0.5480462741437392,4.6219492303770675,89.49750331143272,33.63476428243511,72.51711242564211,1.0393577467358142,7.950942560419178,1.8590893512995665,6.372387668662817,1.2442127420125575,7.343148527948031,2.9424057837290363,1.1202351522639344,4.3173589618852715,0.8170769062347438,5.335234885135565,1.2207910233047101,3.4427086176527095,0.5053908978968068,3.316897762271687,0.4920339347732852,2.023058609943553,0.08245219062525104,0.3477363375800502,0.08047683965137348,0.09889046365274447
Southwest Indian Ridge,36,43II-S41TVG21-1,49.58,1.167,15.08,10.56,9.504000000000001,0.168,8.98,11.24,2.67,0.2,0.095,0.2,99.94,0.6274585830336703,2.603975258103692,91.21036215374693,31.096371777332173,65.07307582482727,1.0911390005753405,9.822126716635283,1.8664649328815999,6.175699114506218,1.190359726349422,6.620878332227253,2.767453876676713,1.0237059358034821,3.9949768365342706,0.7460233423271903,5.036111731262459,1.1306629048477792,3.1336767754218826,0.4680444113249058,3.085405688577101,0.4460701259396619,1.8716655423712563,0.0788501693322003,0.35466471209993156,0.08915083236479263,0.10235863703800564
Southwest Indian Ridge,37,43IV-S27TVG15-1,49.9,1.36,14.82,11.16,10.044,0.179,7.99,11.22,2.59,0.25,0.113,0,99.58,0.5864375485249756,0.5537743830880741,119.12343821362978,24.944766368573752,51.714521497744116,0.8437880178240756,7.4057757083046445,1.4791090355315577,4.791117368919864,0.8975645985176033,5.3583573006366905,2.206133167706646,0.9199585779251306,3.0828600151939156,0.6192140350954206,4.0541004339629545,0.9174567721664244,2.5687932124214363,0.37902017801606674,2.4641020573517287,0.3700323330151635,1.4993523759103284,0.06455995925666909,0.3390902116420161,0.08241032535170863,0.07940736655281001
Southwest Indian Ridge,38,43IV-S29TVG17,49.76,1.251,15.81,10.52,9.468,0.165,6.94,12.03,2.8,0.29,0.1,1.4,101.07,0.5664609837897563,3.52150355559498,89.8051148065751,39.825067636038376,90.20117789131864,1.5402313951463464,14.242430764638234,2.48025124757111,8.14202190192654,1.5294569597433347,8.662873613705324,3.573362651722871,1.3255974726002058,5.123106684969376,1.0161776043158814,6.52359330800239,1.422711314394728,4.046445597766679,0.5865674144007685,3.959731682775658,0.5762030559224118,2.555435907701155,0.11582249964269994,0.43302873184305474,0.1322792940891297,0.06731114009210742
Southwest Indian Ridge,39,30IV-D02,50.02,1.633,16.39,10.09,9.081,0.152,5.79,9.86,4.46,0.35,0.214,0.78,99.75,0.531953965889812,5.221667305886872,198.88262036635984,38.583103937723365,143.89266313473635,5.409144306027735,39.492424771135184,6.913615043136045,19.190145966235125,2.8843956905064094,14.426183267220434,4.636812301572381,1.6586275810456117,5.570154618422111,1.0173210308439733,6.59927790475154,1.4144616643701453,3.8709219559615087,0.5922349821581013,4.035242363476358,0.5387378320587536,3.527975630765709,0.3439869165881962,1.536681959141357,0.5156528419369869,0.20429202245476819
Southwest Indian Ridge,40,43IV-S18TVG09-2,50.33,1.92,14.88,11.84,10.656,0.195,6.55,9.91,3.52,0.42,0.279,0.4,100.24,0.5228301800798844,4.293014744209716,159.48811099591884,53.0190690090623,189.19752956351283,5.772512519477447,43.86304436804581,8.422006365615951,23.850051075828166,3.844258460538509,19.645875543017304,6.2433915225538925,1.9872345408031742,7.869126144866615,1.3353717724615481,8.971188329728164,1.8891887516399046,5.106355998648163,0.8351514990955873,5.021739505295584,0.7281879442474585,4.608389203756826,0.4014441552151307,1.123875310796865,0.492591206284896,0.15168056315307377
Southwest Indian Ridge,41,43III-S20TVG16,48.6,1.626,16.03,11.32,10.188,0.182,7.66,11.17,2.99,0.19,0.162,0.2,100.12,0.5726921881401758,1.628777352172134,145.82426253530744,37.24578053619092,112.05645278276947,2.0148899621287315,14.403325020131822,3.6777611730534576,11.63868554837394,2.012737337847506,11.18574315856176,3.861848827248954,1.3716484592985,5.220818363776119,0.8927539017971527,6.2706038475090695,1.3265342422542075,3.658241697184556,0.5583527062318648,3.5794085921736993,0.5278770474206045,2.9206727655689626,0.1580200114238916,0.5485225129273693,0.15542195113611024,0.10042052105235892
Southwest Indian Ridge,42,43III-S22TVG18,49.52,1.973,14.6,12.11,10.899,0.193,6.25,10.87,3.37,0.45,0.188,0.6,100.12,0.50548796703247,7.440225698031058,149.61372244356636,46.018567179942025,137.85771003951405,2.545796886499008,13.994837713862177,4.684148343566186,15.744774626864386,2.549380048243779,14.103861799084358,4.8896806885858775,1.7444461054677827,6.418323316366702,1.153081494456958,7.832414418243314,1.6313307876687482,4.389113906111456,0.6891637301288551,4.311529204389279,0.6297000388619598,3.6103823687659236,0.1989827177547082,0.7785035661841819,0.18595295353726563,0.09127935815734638
Southwest Indian Ridge,43,43III-S29TVG23,48.69,1.564,14.97,11.83,10.647,0.172,8.82,10.43,2.96,0.2,0.137,0.4,100.16,0.5962311906530432,3.599028655993695,141.51348639101073,37.62162838859692,103.41210583798645,1.3004335156182272,6.81644033215089,3.119864324378738,10.533849454921269,1.8788512951581984,10.153781932291254,3.591988750088853,1.3215573433490713,5.033560717943352,0.8926742054512716,6.205207657186339,1.2656596969497809,3.5183895617421497,0.5675172276964847,3.5195557126332364,0.5354130192429819,2.5510947125832906,0.11296107315893288,0.5333135174170441,0.09635424882281092,0.04252030834436933
